onset	duration	trial_type	block_n
70.02	13.99	task	1
84.03	10.0	rest	1
94.03	15.23	task	2
109.26	10.0	rest	2
119.27	18.3	task	3
137.58	10.0	rest	3
147.58	18.22	task	4
165.8	10.0	rest	4
175.81	16.7	task	5
192.52	10.0	rest	5
202.52	18.09	task	6
220.61	10.0	rest	6
230.61	17.11	task	7
247.73	10.0	rest	7
257.73	17.94	task	8
275.68	10.0	rest	8
285.68	19.19	task	9
304.87	10.0	rest	9
314.87	17.93	task	10
332.81	10.0	rest	10
342.81	18.95	task	11
361.76	10.0	rest	11
371.76	17.05	task	12
388.81	10.0	rest	12
398.82	18.87	task	13
417.69	10.0	rest	13
427.69	18.94	task	14
446.63	10.0	rest	14
456.63	15.92	task	15
472.55	10.0	rest	15
482.56	18.0	task	16
500.55	10.0	rest	16
510.56	19.17	task	17
529.73	10.0	rest	17
539.74	17.78	task	18
557.52	10.0	rest	18
567.52	18.78	task	19
586.3	10.0	rest	19
596.3	19.06	task	20
615.36	10.0	rest	20
625.37	18.8	task	21
644.17	10.0	rest	21
654.17	18.75	task	22
672.92	10.0	rest	22
682.93	20.03	task	23
702.96	10.0	rest	23
712.96	19.11	task	24
732.07	10.0	rest	24
742.07	19.17	task	25
761.24	10.0	rest	25
771.25	14.15	task	26
785.4	10.0	rest	26
795.4	17.9	task	27
813.3	10.0	rest	27
823.3	16.85	task	28
840.15	10.0	rest	28
