onset	duration	trial_type	block_n
70.02	13.92	task	1
83.96	10.0	rest	1
93.96	15.31	task	2
109.27	10.0	rest	2
119.27	13.98	task	3
133.25	10.0	rest	3
143.26	15.18	task	4
158.44	10.0	rest	4
168.44	16.28	task	5
184.73	10.0	rest	5
194.74	15.78	task	6
210.53	10.0	rest	6
220.53	15.99	task	7
236.52	10.0	rest	7
246.52	16.02	task	8
262.55	10.0	rest	8
272.55	16.11	task	9
288.66	10.0	rest	9
298.67	15.95	task	10
314.62	10.0	rest	10
324.62	16.01	task	11
340.63	10.0	rest	11
350.64	16.0	task	12
366.64	10.0	rest	12
376.64	17.03	task	13
393.68	10.0	rest	13
403.68	16.03	task	14
419.71	10.0	rest	14
429.71	15.16	task	15
444.87	10.0	rest	15
454.88	15.88	task	16
470.76	10.0	rest	16
480.76	14.03	task	17
494.79	10.0	rest	17
504.79	14.83	task	18
519.62	10.0	rest	18
529.63	15.99	task	19
545.61	10.0	rest	19
555.62	15.92	task	20
571.54	10.0	rest	20
581.54	16.0	task	21
597.55	10.0	rest	21
607.55	16.11	task	22
623.66	10.0	rest	22
633.66	16.96	task	23
650.62	10.0	rest	23
660.62	15.89	task	24
676.51	10.0	rest	24
686.52	15.97	task	25
702.49	10.0	rest	25
712.49	16.74	task	26
729.23	10.0	rest	26
739.23	16.11	task	27
755.34	10.0	rest	27
765.34	15.81	task	28
781.16	10.0	rest	28
