onset	duration	trial_type	block_n
70.02	17.19	task	1
87.22	10.0	rest	1
97.23	19.23	task	2
116.47	10.0	rest	2
126.47	19.31	task	3
145.78	10.0	rest	3
155.78	16.7	task	4
172.49	10.0	rest	4
182.49	20.09	task	5
202.59	10.0	rest	5
212.59	19.99	task	6
232.59	10.0	rest	6
242.59	19.07	task	7
261.66	10.0	rest	7
271.67	19.08	task	8
290.74	10.0	rest	8
300.74	19.97	task	9
320.72	10.0	rest	9
330.72	18.97	task	10
349.7	10.0	rest	10
359.7	18.89	task	11
378.6	10.0	rest	11
388.6	19.06	task	12
407.66	10.0	rest	12
417.67	18.96	task	13
436.63	10.0	rest	13
446.63	19.95	task	14
466.58	10.0	rest	14
476.58	19.98	task	15
496.57	10.0	rest	15
506.57	19.71	task	16
526.28	10.0	rest	16
536.28	19.06	task	17
555.34	10.0	rest	17
565.34	18.8	task	18
584.14	10.0	rest	18
594.15	18.75	task	19
612.9	10.0	rest	19
622.9	20.03	task	20
642.93	10.0	rest	20
652.94	19.09	task	21
672.03	10.0	rest	21
682.03	21.22	task	22
703.26	10.0	rest	22
713.26	19.98	task	23
733.24	10.0	rest	23
743.25	19.96	task	24
763.21	10.0	rest	24
773.22	20.71	task	25
793.93	10.0	rest	25
803.93	19.92	task	26
823.85	10.0	rest	26
833.85	20.07	task	27
853.93	10.0	rest	27
863.93	19.06	task	28
882.99	10.0	rest	28
