onset	duration	trial_type	block_n
70.02	10.01	task	1
80.05	10.0	rest	1
90.06	10.0	task	2
100.07	10.0	rest	2
110.08	10.0	task	3
120.09	10.0	rest	3
130.09	10.0	task	4
140.1	10.0	rest	4
150.11	10.01	task	5
160.13	10.0	rest	5
170.13	10.0	task	6
180.14	10.0	rest	6
190.15	10.0	task	7
200.16	10.0	rest	7
210.17	10.0	task	8
220.17	10.0	rest	8
230.18	10.0	task	9
240.19	10.0	rest	9
250.19	10.0	task	10
260.2	10.0	rest	10
270.21	10.0	task	11
280.22	10.0	rest	11
290.22	10.0	task	12
300.23	10.0	rest	12
310.24	10.0	task	13
320.25	10.0	rest	13
330.25	10.0	task	14
340.26	10.0	rest	14
350.27	10.0	task	15
360.27	10.0	rest	15
370.28	10.0	task	16
380.29	10.0	rest	16
390.3	10.0	task	17
400.31	10.0	rest	17
410.32	10.0	task	18
420.33	10.0	rest	18
430.33	10.0	task	19
440.34	10.0	rest	19
450.35	10.0	task	20
460.36	10.0	rest	20
470.37	10.0	task	21
480.38	10.0	rest	21
490.39	10.0	task	22
500.39	10.0	rest	22
510.4	10.0	task	23
520.41	10.0	rest	23
530.42	10.0	task	24
540.43	10.0	rest	24
550.43	10.0	task	25
560.44	10.0	rest	25
570.45	10.0	task	26
580.46	10.0	rest	26
590.47	10.0	task	27
600.47	10.0	rest	27
610.48	10.0	task	28
620.49	10.0	rest	28
