onset	duration	trial_type	block_n
70.02	10.0	task	1
80.04	10.0	rest	1
90.05	10.0	task	2
100.06	10.0	rest	2
110.06	10.0	task	3
120.07	10.0	rest	3
130.08	10.0	task	4
140.08	10.0	rest	4
150.09	10.01	task	5
160.1	10.0	rest	5
170.11	10.0	task	6
180.12	10.0	rest	6
190.12	10.0	task	7
200.13	10.0	rest	7
210.13	10.0	task	8
220.14	10.0	rest	8
230.14	10.0	task	9
240.15	10.0	rest	9
250.16	10.0	task	10
260.16	10.0	rest	10
270.17	10.0	task	11
280.17	10.0	rest	11
290.18	10.0	task	12
300.18	10.0	rest	12
310.19	10.0	task	13
320.19	10.0	rest	13
330.2	10.0	task	14
340.2	10.0	rest	14
350.21	10.0	task	15
360.21	10.0	rest	15
370.22	10.0	task	16
380.23	10.0	rest	16
390.23	10.0	task	17
400.23	10.0	rest	17
410.24	10.0	task	18
420.24	10.0	rest	18
430.25	10.0	task	19
440.26	10.0	rest	19
450.26	10.0	task	20
460.27	10.0	rest	20
470.27	10.0	task	21
480.28	10.0	rest	21
490.29	10.0	task	22
500.29	10.0	rest	22
510.3	10.0	task	23
520.3	10.0	rest	23
530.31	10.0	task	24
540.31	10.0	rest	24
550.32	10.0	task	25
560.32	10.0	rest	25
570.33	10.0	task	26
580.33	10.0	rest	26
590.34	10.0	task	27
600.34	10.0	rest	27
610.35	10.0	task	28
620.35	10.0	rest	28
